Premise,Implied,Support
Executive Summary,Detailed Findings,151
Recommendations / Remediation Guidance,Detailed Findings,149
Scope,Detailed Findings; Executive Summary,144
Methodology / Procedure,Detailed Findings; Executive Summary,135
Status of Findings / Verification,Detailed Findings,115
Tools & Automation,Detailed Findings,108
Scope; Tools & Automation; Detailed Findings,Executive Summary; Methodology / Procedure,103
Executive Summary; Scope; Tools & Automation,Detailed Findings; Methodology / Procedure,103
Scope; Tools & Automation,Detailed Findings; Executive Summary; Methodology / Procedure,103
Detailed Findings; Limitations / Disclaimers / Non-Goals,Executive Summary,85
Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary,85
Detailed Findings; Testing / Coverage Quality,Executive Summary,84
Testing / Coverage Quality,Detailed Findings; Executive Summary,84
Executive Summary; Recommendations / Remediation Guidance; Limitations / Disclaimers / Non-Goals,Detailed Findings; Scope,82
Detailed Findings; Recommendations / Remediation Guidance; Limitations / Disclaimers / Non-Goals,Executive Summary; Scope,82
Recommendations / Remediation Guidance; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope,82
Methodology / Procedure; Detailed Findings; Testing / Coverage Quality,Executive Summary; Scope,80
Executive Summary; Methodology / Procedure; Testing / Coverage Quality,Detailed Findings; Scope,80
Methodology / Procedure; Testing / Coverage Quality,Detailed Findings; Executive Summary; Scope,80
Documentation Quality,Detailed Findings; Executive Summary; Scope,79
Methodology / Procedure; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope,79
Status of Findings / Verification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope,78
Executive Summary; Tools & Automation; Testing / Coverage Quality,Detailed Findings; Methodology / Procedure; Scope,76
Detailed Findings; Testing / Coverage Quality; Documentation Quality,Executive Summary; Scope; Status of Findings / Verification,76
Executive Summary; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Scope; Status of Findings / Verification,76
Scope; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Status of Findings / Verification,76
Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Scope; Status of Findings / Verification,76
Tools & Automation; Detailed Findings; Testing / Coverage Quality,Executive Summary; Methodology / Procedure; Scope,76
Tools & Automation; Testing / Coverage Quality,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,76
Executive Summary; Tools & Automation; Documentation Quality,Detailed Findings; Methodology / Procedure; Scope,75
Tools & Automation; Documentation Quality,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,75
Tools & Automation; Status of Findings / Verification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,73
Methodology / Procedure; Tools & Automation; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope; Status of Findings / Verification,73
Scope; Tools & Automation; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Status of Findings / Verification,73
Tools & Automation; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification,73
Methodology / Procedure; Status of Findings / Verification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope; Tools & Automation,73
Tools & Automation; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification,72
Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope; Status of Findings / Verification,70
Executive Summary; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Scope; Status of Findings / Verification,68
Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Scope; Status of Findings / Verification,68
Methodology / Procedure; Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Scope; Status of Findings / Verification; Tools & Automation,68
Tools & Automation; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification,66
Methodology / Procedure; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Scope; Status of Findings / Verification; Tools & Automation,66
Scope; System/Protocol Overview; Detailed Findings,Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance,44
Executive Summary; System/Protocol Overview,Detailed Findings; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,44
Scope; System/Protocol Overview; Recommendations / Remediation Guidance,Detailed Findings; Executive Summary; Methodology / Procedure,44
System/Protocol Overview; Methodology / Procedure; Detailed Findings,Executive Summary; Recommendations / Remediation Guidance; Scope,44
Scope; System/Protocol Overview,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance,44
System/Protocol Overview; Detailed Findings,Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,44
System/Protocol Overview; Recommendations / Remediation Guidance,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,44
System/Protocol Overview; Methodology / Procedure,Detailed Findings; Executive Summary; Recommendations / Remediation Guidance; Scope,44
System/Protocol Overview,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,44
Severity Model / Risk Classification,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,42
Findings Summary (Table); Recommendations / Remediation Guidance,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,42
Executive Summary; Scope; Findings Summary (Table),Detailed Findings; Methodology / Procedure; Recommendations / Remediation Guidance,42
Methodology / Procedure; Findings Summary (Table); Detailed Findings,Executive Summary; Recommendations / Remediation Guidance; Scope,42
Executive Summary; Findings Summary (Table),Detailed Findings; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,42
Scope; Findings Summary (Table),Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance,42
Methodology / Procedure; Findings Summary (Table),Detailed Findings; Executive Summary; Recommendations / Remediation Guidance; Scope,42
Findings Summary (Table),Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,42
Severity Model / Risk Classification; Status of Findings / Verification,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Tools & Automation,39
Tools & Automation; Severity Model / Risk Classification,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification,39
Methodology / Procedure; Severity Model / Risk Classification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,36
Severity Model / Risk Classification; Detailed Findings; Documentation Quality,Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,36
Severity Model / Risk Classification; Detailed Findings; Testing / Coverage Quality,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,36
Severity Model / Risk Classification; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,36
Severity Model / Risk Classification; Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,36
Executive Summary; Severity Model / Risk Classification; Documentation Quality,Detailed Findings; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,36
Severity Model / Risk Classification; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,36
Severity Model / Risk Classification; Status of Findings / Verification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,36
Severity Model / Risk Classification; Status of Findings / Verification; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,36
Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Tools & Automation,36
Executive Summary; Severity Model / Risk Classification; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,36
Scope; Severity Model / Risk Classification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,36
Executive Summary; Severity Model / Risk Classification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,36
Scope; Severity Model / Risk Classification; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,36
Scope; Severity Model / Risk Classification; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Status of Findings / Verification; Tools & Automation,36
Severity Model / Risk Classification; Detailed Findings; Limitations / Disclaimers / Non-Goals,Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,36
Tools & Automation; Severity Model / Risk Classification; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality,36
Tools & Automation; Severity Model / Risk Classification; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification,36
Methodology / Procedure; Severity Model / Risk Classification; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Tools & Automation,36
Methodology / Procedure; Severity Model / Risk Classification; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,36
Tools & Automation; Severity Model / Risk Classification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality,36
Severity Model / Risk Classification; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,36
Severity Model / Risk Classification; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,36
Severity Model / Risk Classification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,36
Executive Summary; System/Protocol Overview; Status of Findings / Verification,Detailed Findings; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,35
System/Protocol Overview; Methodology / Procedure; Status of Findings / Verification,Detailed Findings; Executive Summary; Recommendations / Remediation Guidance; Scope; Tools & Automation,35
System/Protocol Overview; Status of Findings / Verification,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,35
System/Protocol Overview; Methodology / Procedure; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,32
