Provider,Project,Link,Executive Summary,Scope,System/Protocol Overview,Versioning & References,Methodology / Procedure,Tools & Automation,Severity Model / Risk Classification,Findings Summary (Table),Detailed Findings,Recommendations / Remediation Guidance,Status of Findings / Verification,Threat / Trust Model,Privileged Roles & Centralisation Risks,Risk Taxonomy / Terminology & References,Timeline / Engagement Details,Testing / Coverage Quality,Documentation Quality,Upgradeability / Governance Controls,Limitations / Disclaimers / Non-Goals
Beosin,VoltToken,https://www.beosin.com/audits/VoltToken_201808300930.pdf,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Beosin,OneSwap,https://www.beosin.com/audits/OneSwap_202009062030.pdf,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Beosin,LeverFi,https://beosin.com/audits/LeverFi_202210111500.pdf,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Beosin,Aqua Protocol,https://www.beosin.com/audits/Aqua%20Protocol_202407221416.pdf,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Callisto Network,Cryptonity,https://github.com/EthereumCommonwealth/Auditing/issues/9#issuecomment-417291310,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Callisto Network,Cryptomillions.io,https://github.com/EthereumCommonwealth/Auditing/issues/362#issuecomment-524542215,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Callisto Network,MyPet Social Token,https://callisto.network/mypetsocial-token-security-audit/,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Callisto Network,TraderDAOa,https://callisto.network/traderdaoai-contracts-security-audit-report/,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1
ChainSecurity,Kyber Network,https://github.com/ChainSecurity/audits/blob/master/ChainSecurity_KyberNetwork.pdf,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1
ChainSecurity,OmniBridge,https://cdn.prod.website-files.com/65d35b01a4034b72499019e8/6644cb21505a5852dbc23d7a_ChainSecurity_POANetwork_OmniBridge_FinalReport_compressed.pdf,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
ChainSecurity,Starknet Teleport,https://cdn.prod.website-files.com/65d35b01a4034b72499019e8/664462e4dbf48a0c9fd3c5d4_ChainSecurity_MakerDAO_Starknet_Teleport_audit_compressed.pdf,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
ChainSecurity,Enzyme,https://cdn.prod.website-files.com/65d35b01a4034b72499019e8/66be296c9f2eda43393e97f8_ChainSecurity_Enzyme_Foundation_Sulu_Extensions_XV_audit%20(1).pdf,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Coinsult,UncleTrump AI,https://github.com/Coinsult/Audits/blob/main/Coinsult_UncleTrump_AI_BbQs...k7Xb_Audit.pdf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
ContractWolf,ZKS Token,https://github.com/ContractWolf/smart-contract-audits/blob/main/ContractWolf_Audit_ZKS_Token.pdf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
ContractWolf,GETE Network,https://github.com/ContractWolf/smart-contract-audits/blob/main/ContractWolf_Audit_GETE_Network.pdf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
Cyberscope,,https://github.com/cyberscope-io/audits/blob/main/1-bitch/audit.pdf,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
Cyberscope,OpenLiquidity,https://github.com/cyberscope-io/audits/blob/main/0xlp/audit.pdf,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
EtherAuthority,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EtherAuthority,ARSI Token,https://github.com/EtherAuthority/Audit/blob/main/ARULSINGAM%20%20Token%20-%20REVISED.pdf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1
EtherAuthority,Tether USD (USDT),https://github.com/EtherAuthority/Audit/blob/main/Binance-BSC-USD.pdf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1
FreshCoins,Minidoge,https://github.com/freshcoins/Smart-Contract-Audits/blob/main/MiniDoge2022_0xbdfa2231e5944f5fe21491aec4d303ff78a95f61.pdf,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
FreshCoins,3N rewards,https://github.com/freshcoins/Smart-Contract-Audits/blob/main/3NRewards_0x4a4B4Ff9f2a28aE1d25f642169e3deBBdb1A6605_SEPOLIA.pdf,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
FreshCoins,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hacken.io,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hacken.io,Neptune Mutual,https://hacken.io/audits/neptune-mutual/sca-neptune-mutual-liquidity-pool-sep2023/,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1
Hacken.io,RedStone Finance,https://hacken.io/audits/redstone/sca-redstone-finance-solana-patch-may2025/,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
HashEx,Zelwin,https://github.com/HashEx/public_audits/blob/master/zelwin-token/Zelwin%20token%20report.pdf,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0
HashEx,Liquid Apes,https://github.com/HashEx/public_audits/blob/master/Liquid%20Apes/Liquid%20Apes.pdf,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
HashEx,Evedex,https://github.com/HashEx/public_audits/blob/master/EVEDEX/EVEDEX.pdf,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
InterFi Audits,ABI,https://github.com/interfinetwork/smart-contract-audits/blob/audit-updates/ABI_AuditReport_InterFi.pdf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0
InterFi Audits,Black Stallion,https://irp.cdn-website.com/1b45ecb9/files/uploaded/BlackStallion_AuditReport_InterFi.pdf,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0
Omniscia,Agrofarm,https://omniscia.io/agrotoken-token-implementation/compilation,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0
Omniscia,Bolide Finance Main Storage,https://omniscia.io/reports/bolide-finance-main-storage-module-63ce6a17cb4e7f0016344535/,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0
Omniscia,Limit Break Creator Token Transfer Validator V5,https://omniscia.io/reports/limit-break-creator-token-transfer-validator-v5-67b4c5a5700e89001a900f61/,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0
Paladin Blockchain Security,Thoreum Finance,https://paladinsec.co/projects/thoreum-finance/,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Paladin Blockchain Security,Brewlabs,https://paladinsec.co/projects/brewlabs/,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Paladin Blockchain Security,Pangolin,https://paladinsec.co/projects/pangolin/,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
PeckShield,BoringDAO,https://github.com/peckshield/publications/blob/master/audit_reports/PeckShield-Audit-Report-BoringDAO-1.0-2020-89.pdf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
PeckShield,Bomb Token,https://github.com/peckshield/publications/blob/master/audit_reports/PeckShield-Audit-Report-ERC20-Bomb-v1.0.pdf,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
PeckShield,Babypie protocol,https://github.com/peckshield/publications/blob/master/audit_reports/PeckShield-Audit-Report-Babypie-v1.0.pdf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Quantstamp,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Quantstamp,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Quantstamp,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Quantstamp,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
QuillAudits,TravelHelper,https://github.com/Quillhash/QuillAudit_Reports/blob/master/TravelHelper.md,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
QuillAudits,COXENA,https://github.com/Quillhash/QuillAudit_Reports/blob/master/COX%20Audit%20Report.pdf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0
QuillAudits,Animal Token,https://github.com/Quillhash/QuillAudit_Reports/blob/master/Animal%20Token%20Smart%20Contract%20Audit%20Report%20-%20QuillAudits.pdf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0
QuillAudits,AirLyft,https://github.com/Quillhash/QuillAudit_Reports/blob/master/AirLyft%20Smart%20Contract%20Audit%20Report%20-%20QuillAudits.pdf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0
Sherlock,Flux Protocol,https://github.com/sherlock-protocol/sherlock-reports/blob/main/audits/2022.12.12%20-%20Final%20-%20DODO%20Audit%20Report.pdf,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0
Sherlock,Truflation,https://github.com/sherlock-protocol/sherlock-reports/blob/main/audits/2024.01.08%20-%20Final%20-%20Truflation%20Audit%20Report.pdf,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
SlowMist,Ord,https://github.com/slowmist/Knowledge-Base/blob/master/open-report-V2/blockchain/SlowMist%20Audit%20Report%20-%20OKX/SlowMist%20Audit%20Report%20-%20ord_en-us.pdf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
SlowMist,Jovay,https://github.com/slowmist/Knowledge-Base/blob/master/open-report-V2/blockchain/Jovay%20-%20SlowMist%20Audit%20Report.pdf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Trail of Bits,"Aleo snarkVM, snarkOS & Bullshark BFT",https://example.com/aleo-snarkvm-audit,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1
Trail of Bits,Balancer V2 Security Assessment,https://example.com/balancer-v2-audit,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1
Trail of Bits,Maple Finance Security Assessment,https://example.com/maple-finance-audit,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1
OpenZeppelin,Aave Protocol v2 Audit,https://example.com/aave-protocol-audit,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1
OpenZeppelin,Compound Protocol Comprehensive Audit,https://example.com/compound-protocol-audit,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1
OpenZeppelin,TruMATIC Smart Contracts Audit,https://example.com/trumatic-audit,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1
