Premise,Implied,Support,Pset,Cset
Executive Summary,Detailed Findings,151,frozenset({'Executive Summary'}),frozenset({'Detailed Findings'})
Recommendations / Remediation Guidance,Detailed Findings,149,frozenset({'Recommendations / Remediation Guidance'}),frozenset({'Detailed Findings'})
Executive Summary; Recommendations / Remediation Guidance,Detailed Findings,147,"frozenset({'Recommendations / Remediation Guidance', 'Executive Summary'})",frozenset({'Detailed Findings'})
Executive Summary; Scope,Detailed Findings,144,"frozenset({'Scope', 'Executive Summary'})",frozenset({'Detailed Findings'})
Scope,Detailed Findings; Executive Summary,144,frozenset({'Scope'}),"frozenset({'Detailed Findings', 'Executive Summary'})"
Scope; Detailed Findings,Executive Summary,144,"frozenset({'Detailed Findings', 'Scope'})",frozenset({'Executive Summary'})
Scope; Detailed Findings; Recommendations / Remediation Guidance,Executive Summary,141,"frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Scope'})",frozenset({'Executive Summary'})
Executive Summary; Scope; Recommendations / Remediation Guidance,Detailed Findings,141,"frozenset({'Recommendations / Remediation Guidance', 'Scope', 'Executive Summary'})",frozenset({'Detailed Findings'})
Scope; Recommendations / Remediation Guidance,Detailed Findings; Executive Summary,141,"frozenset({'Recommendations / Remediation Guidance', 'Scope'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Methodology / Procedure,Detailed Findings; Executive Summary,135,frozenset({'Methodology / Procedure'}),"frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Methodology / Procedure,Detailed Findings,135,"frozenset({'Methodology / Procedure', 'Executive Summary'})",frozenset({'Detailed Findings'})
Methodology / Procedure; Detailed Findings,Executive Summary,135,"frozenset({'Detailed Findings', 'Methodology / Procedure'})",frozenset({'Executive Summary'})
Scope; Methodology / Procedure,Detailed Findings; Executive Summary,133,"frozenset({'Scope', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Scope; Methodology / Procedure,Detailed Findings,133,"frozenset({'Scope', 'Methodology / Procedure', 'Executive Summary'})",frozenset({'Detailed Findings'})
Scope; Methodology / Procedure; Detailed Findings,Executive Summary,133,"frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure'})",frozenset({'Executive Summary'})
Methodology / Procedure; Recommendations / Remediation Guidance,Detailed Findings; Executive Summary,132,"frozenset({'Recommendations / Remediation Guidance', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance,Detailed Findings,132,"frozenset({'Recommendations / Remediation Guidance', 'Methodology / Procedure', 'Executive Summary'})",frozenset({'Detailed Findings'})
Methodology / Procedure; Detailed Findings; Recommendations / Remediation Guidance,Executive Summary,132,"frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Methodology / Procedure'})",frozenset({'Executive Summary'})
Scope; Methodology / Procedure; Recommendations / Remediation Guidance,Detailed Findings; Executive Summary,130,"frozenset({'Recommendations / Remediation Guidance', 'Scope', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Executive Summary'})"
Status of Findings / Verification,Detailed Findings,115,frozenset({'Status of Findings / Verification'}),frozenset({'Detailed Findings'})
Executive Summary; Status of Findings / Verification,Detailed Findings,113,"frozenset({'Status of Findings / Verification', 'Executive Summary'})",frozenset({'Detailed Findings'})
Recommendations / Remediation Guidance; Status of Findings / Verification,Detailed Findings,112,"frozenset({'Recommendations / Remediation Guidance', 'Status of Findings / Verification'})",frozenset({'Detailed Findings'})
