Provider,Project,Year,Scope,Methodology,Detailed Findings,Severity definitions (legend),Status/Verification (per-issue),Versioning/Traceability,Disclaimers/Limitations,Executive Summary,System Overview / Architecture,Findings Summary Table,Threat/Trust Model,Privileged Roles / Upgradeability,Testing / Coverage Quality,Documentation Quality,Tools & Automation
Beosin,VoltToken,2018.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Beosin,OneSwap,2020.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Beosin,LeverFi,2022.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
Beosin,Aqua Protocol,2024.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
Callisto Network,Cryptonity,2018.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Callisto Network,Cryptomillions.io,2019.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Callisto Network,MyPet Social Token,2021.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Callisto Network,TraderDAOa,2023.0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
ChainSecurity,Kyber Network,2018.0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
ChainSecurity,OmniBridge,2021.0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
ChainSecurity,Starknet Teleport,2022.0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
ChainSecurity,Enzyme,2024.0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
Coinsult,UncleTrump AI,2025.0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
ContractWolf,ZKS Token,2023.0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
ContractWolf,GETE Network,2025.0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
Cyberscope,,2022.0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
Cyberscope,OpenLiquidity,2024.0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
EtherAuthority,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EtherAuthority,ARSI Token,2023.0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1
EtherAuthority,Tether USD (USDT),2025.0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1
FreshCoins,Minidoge,2022.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
FreshCoins,3N rewards,2024.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
FreshCoins,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hacken.io,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hacken.io,Neptune Mutual,2023.0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1
Hacken.io,RedStone Finance,2025.0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
HashEx,Zelwin,2021.0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0
HashEx,Liquid Apes,2023.0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0
HashEx,Evedex,2025.0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0
InterFi Audits,ABI,2021.0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1
InterFi Audits,Black Stallion,2023.0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
Omniscia,Agrofarm,2021.0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1
Omniscia,Bolide Finance Main Storage,2023.0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1
Omniscia,Limit Break Creator Token Transfer Validator V5,2025.0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1
Paladin Blockchain Security,Thoreum Finance,2021.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Paladin Blockchain Security,Brewlabs,2023.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Paladin Blockchain Security,Pangolin,2025.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
PeckShield,BoringDAO,2020.0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
PeckShield,Bomb Token,2022.0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
PeckShield,Babypie protocol,2024.0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
Quantstamp,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Quantstamp,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Quantstamp,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Quantstamp,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
QuillAudits,TravelHelper,2018.0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
QuillAudits,COXENA,2020.0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1
QuillAudits,Animal Token,2022.0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1
QuillAudits,AirLyft,2024.0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1
Sherlock,Flux Protocol,2022.0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0
Sherlock,Truflation,2024.0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
SlowMist,Ord,2023.0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
